user_id,age_group,gender,country,annual_income_range,preferred_device,primary_traffic_source,registration_date,is_premium_user
27,25-34,Male,Canada,100k+,Mobile,organic_search,2024-09-17,True
28,65+,Female,UK,50k-75k,Mobile,social_media,2024-08-15,False
29,45-54,Female,US,<30k,Desktop,organic_search,2024-10-22,False
30,25-34,Male,Israel,<25k,Mobile,organic_search,2024-10-16,False
31,35-44,Male,France,60k-80k,Mixed,social_media,2024-11-10,False
32,35-44,Male,France,<25k,Mobile,social_media,2024-07-13,False
33,35-44,Male,US,30k-50k,Desktop,email_campaign,2024-10-30,False
34,55-64,Female,Germany,25k-40k,Mixed,organic_search,2024-06-17,False
35,25-34,Female,US,100k+,Desktop,organic_search,2024-10-25,False
36,25-34,Female,US,50k-75k,Mobile,paid_search,2024-10-01,False
37,35-44,Male,Australia,50k-75k,Tablet,referral,2024-10-20,False
38,25-34,Male,US,75k-100k,Mobile,email_campaign,2024-10-23,True
39,45-54,Male,US,50k-75k,Mobile,referral,2024-09-17,False
40,18-24,Female,Germany,40k-60k,Mobile,paid_search,2024-11-06,False
41,18-24,Female,UK,75k-100k,Desktop,paid_search,2024-10-31,True
42,25-34,Male,US,30k-50k,Mobile,direct,2024-11-11,False
43,18-24,Male,Germany,60k-80k,Mobile,paid_search,2024-09-25,False
44,25-34,Male,US,75k-100k,Mobile,paid_search,2024-11-04,False
45,35-44,Female,Australia,100k+,Mixed,direct,2024-09-17,False
46,35-44,Female,US,30k-50k,Desktop,referral,2024-06-27,False
47,18-24,Other,Germany,40k-60k,Desktop,paid_search,2024-08-24,False
48,25-34,Female,Canada,50k-75k,Mobile,social_media,2024-07-27,False
49,35-44,Male,US,30k-50k,Mobile,organic_search,2024-07-08,False
50,35-44,Male,France,<25k,Desktop,paid_search,2024-09-14,False
51,25-34,Male,UK,30k-50k,Mobile,organic_search,2024-08-08,False
52,25-34,Female,UK,30k-50k,Mobile,social_media,2024-09-26,False
53,25-34,Female,US,50k-75k,Desktop,organic_search,2024-10-25,False
54,45-54,Female,US,50k-75k,Mobile,organic_search,2024-06-07,False
55,18-24,Male,Israel,40k-60k,Desktop,paid_search,2024-09-23,False
56,45-54,Male,France,40k-60k,Mobile,organic_search,2024-10-04,False
57,18-24,Male,France,<25k,Desktop,paid_search,2024-09-19,False
58,18-24,Female,Canada,75k-100k,Mobile,paid_search,2024-09-09,True
59,35-44,Female,US,30k-50k,Mixed,organic_search,2024-08-09,False
60,18-24,Female,Australia,30k-50k,Mobile,social_media,2024-10-14,False
61,35-44,Male,UK,<30k,Mobile,paid_search,2024-09-21,False
62,25-34,Female,UK,50k-75k,Mobile,direct,2024-08-16,False
63,35-44,Male,Germany,25k-40k,Desktop,organic_search,2024-08-02,True
64,25-34,Male,UK,75k-100k,Mobile,paid_search,2024-07-19,False
65,18-24,Male,Australia,50k-75k,Mobile,organic_search,2024-07-05,False
66,35-44,Other,France,40k-60k,Desktop,email_campaign,2024-07-30,False
67,55-64,Male,US,<30k,Mobile,email_campaign,2024-07-09,False
68,18-24,Male,UK,50k-75k,Mobile,social_media,2024-10-23,False
69,18-24,Male,US,30k-50k,Desktop,email_campaign,2024-11-04,False
70,18-24,Male,Germany,25k-40k,Desktop,social_media,2024-11-02,False
71,35-44,Female,UK,<30k,Mixed,paid_search,2024-09-17,True
72,35-44,Female,US,50k-75k,Mixed,social_media,2024-11-11,False
73,45-54,Female,UK,50k-75k,Mobile,organic_search,2024-09-15,False
74,18-24,Female,Australia,30k-50k,Mobile,social_media,2024-09-14,False
75,45-54,Male,UK,30k-50k,Mobile,organic_search,2024-10-27,False
76,45-54,Male,US,30k-50k,Mixed,paid_search,2024-11-27,False
77,35-44,Female,UK,75k-100k,Desktop,direct,2024-10-06,False
78,55-64,Male,US,75k-100k,Mobile,email_campaign,2024-10-28,False
79,45-54,Female,UK,75k-100k,Desktop,social_media,2024-06-30,False
80,25-34,Female,UK,<30k,Desktop,social_media,2024-08-02,False
81,25-34,Female,US,<30k,Mobile,paid_search,2024-08-11,False
82,25-34,Female,US,<30k,Mobile,organic_search,2024-09-04,False
83,25-34,Female,US,<30k,Mobile,paid_search,2024-09-27,False
84,35-44,Male,Israel,40k-60k,Mobile,paid_search,2024-10-06,True
85,25-34,Female,Canada,75k-100k,Desktop,paid_search,2024-11-01,False
86,35-44,Male,US,30k-50k,Mobile,paid_search,2024-09-30,True
87,55-64,Male,Canada,75k-100k,Mobile,social_media,2024-10-16,False
88,45-54,Male,Australia,<30k,Mixed,paid_search,2024-10-30,False
89,25-34,Male,US,75k-100k,Mobile,social_media,2024-08-20,False
90,35-44,Female,Canada,30k-50k,Mobile,paid_search,2024-07-14,False
91,35-44,Male,UK,<30k,Mixed,direct,2024-06-08,False
92,45-54,Male,US,30k-50k,Desktop,paid_search,2024-10-21,True
93,25-34,Male,Netherlands,60k-80k,Mobile,social_media,2024-08-25,False
94,18-24,Male,UK,30k-50k,Desktop,direct,2024-11-14,False
95,25-34,Female,US,75k-100k,Desktop,social_media,2024-11-15,False
96,25-34,Female,UK,75k-100k,Desktop,paid_search,2024-09-16,False
97,45-54,Female,France,<25k,Desktop,referral,2024-06-29,False
98,25-34,Female,UK,100k+,Mixed,paid_search,2024-10-11,False
99,18-24,Female,Canada,50k-75k,Desktop,referral,2024-08-02,False
100,35-44,Male,France,<25k,Mobile,organic_search,2024-09-18,True
101,18-24,Female,Canada,<30k,Mobile,organic_search,2024-06-09,False
102,55-64,Male,Germany,40k-60k,Mobile,social_media,2024-06-03,False
103,35-44,Male,Israel,60k-80k,Mobile,organic_search,2024-06-29,False
104,35-44,Female,Canada,<30k,Desktop,social_media,2024-10-02,False
105,25-34,Male,Israel,80k+,Mobile,referral,2024-09-22,False
106,25-34,Female,Israel,80k+,Desktop,social_media,2024-10-25,False
107,18-24,Female,Germany,25k-40k,Desktop,social_media,2024-11-13,True
108,25-34,Male,France,60k-80k,Mobile,organic_search,2024-09-15,False
109,25-34,Male,Germany,25k-40k,Mobile,organic_search,2024-06-13,False
110,45-54,Other,Canada,50k-75k,Mixed,paid_search,2024-11-10,False
111,25-34,Other,Australia,<30k,Mobile,organic_search,2024-10-26,False
112,25-34,Male,Germany,60k-80k,Mobile,paid_search,2024-06-22,False
113,35-44,Male,UK,<30k,Desktop,social_media,2024-11-27,False
114,35-44,Male,UK,50k-75k,Desktop,organic_search,2024-06-29,False
115,25-34,Male,US,75k-100k,Mobile,social_media,2024-06-22,False
116,18-24,Male,Germany,40k-60k,Mobile,direct,2024-09-09,False
117,25-34,Female,US,30k-50k,Mobile,social_media,2024-11-09,False
118,45-54,Female,UK,50k-75k,Mixed,referral,2024-11-21,False
119,25-34,Male,Germany,25k-40k,Desktop,social_media,2024-11-19,False
120,35-44,Male,UK,30k-50k,Mobile,organic_search,2024-06-17,False
121,35-44,Male,Germany,<25k,Mobile,direct,2024-09-10,False
122,45-54,Male,US,30k-50k,Mobile,social_media,2024-08-19,True
123,45-54,Male,US,75k-100k,Desktop,direct,2024-08-11,False
124,35-44,Male,US,30k-50k,Mobile,direct,2024-10-10,False
125,35-44,Female,US,30k-50k,Mobile,paid_search,2024-06-12,False
126,65+,Female,France,40k-60k,Tablet,organic_search,2024-11-06,False
127,45-54,Female,Canada,100k+,Desktop,organic_search,2024-09-06,False
128,25-34,Male,Canada,30k-50k,Desktop,paid_search,2024-06-02,False
129,18-24,Male,Israel,40k-60k,Mixed,paid_search,2024-08-23,False
130,45-54,Female,France,25k-40k,Mobile,social_media,2024-10-12,False
131,45-54,Male,Israel,<25k,Mixed,paid_search,2024-11-18,False
132,35-44,Female,US,30k-50k,Desktop,social_media,2024-10-02,False
133,18-24,Female,UK,30k-50k,Mobile,direct,2024-08-25,False
134,45-54,Male,US,75k-100k,Mixed,organic_search,2024-06-26,False
135,25-34,Male,Australia,50k-75k,Mobile,email_campaign,2024-07-18,False
136,65+,Male,Netherlands,80k+,Tablet,email_campaign,2024-08-16,False
137,25-34,Male,Canada,50k-75k,Mixed,email_campaign,2024-08-21,False
138,18-24,Male,UK,<30k,Desktop,organic_search,2024-06-11,False
139,35-44,Male,US,75k-100k,Desktop,direct,2024-07-18,False
140,35-44,Male,US,75k-100k,Mixed,paid_search,2024-07-14,True
141,18-24,Male,US,30k-50k,Mixed,organic_search,2024-07-17,False
142,35-44,Male,US,30k-50k,Mobile,paid_search,2024-06-19,False
143,18-24,Male,Canada,75k-100k,Mobile,organic_search,2024-11-05,False
144,55-64,Male,France,<25k,Mobile,organic_search,2024-07-26,True
145,55-64,Female,US,30k-50k,Desktop,social_media,2024-10-01,False
146,35-44,Female,France,40k-60k,Mixed,organic_search,2024-06-19,False
147,35-44,Female,US,30k-50k,Mobile,paid_search,2024-08-08,True
148,25-34,Female,US,100k+,Mobile,organic_search,2024-10-21,False
149,45-54,Female,UK,<30k,Mobile,paid_search,2024-11-14,False
150,55-64,Female,Canada,30k-50k,Desktop,social_media,2024-08-12,False
151,25-34,Female,Canada,50k-75k,Mobile,referral,2024-06-02,True
152,55-64,Female,Canada,50k-75k,Mobile,organic_search,2024-08-16,False
153,25-34,Female,Canada,30k-50k,Desktop,email_campaign,2024-10-22,True
154,65+,Female,Germany,60k-80k,Desktop,organic_search,2024-10-28,False
155,35-44,Male,France,80k+,Desktop,social_media,2024-10-20,True
156,55-64,Female,France,25k-40k,Desktop,social_media,2024-07-30,False
157,55-64,Male,UK,30k-50k,Mixed,social_media,2024-08-06,False
158,45-54,Male,UK,75k-100k,Mobile,paid_search,2024-06-25,False
159,25-34,Male,US,50k-75k,Mixed,paid_search,2024-10-15,False
160,25-34,Male,US,30k-50k,Mixed,direct,2024-08-01,False
161,55-64,Female,UK,<30k,Mobile,paid_search,2024-08-18,False
162,35-44,Male,US,50k-75k,Desktop,email_campaign,2024-11-28,True
163,25-34,Female,UK,100k+,Desktop,paid_search,2024-07-22,False
164,45-54,Male,Germany,<25k,Tablet,paid_search,2024-06-29,False
165,35-44,Male,France,<25k,Mobile,paid_search,2024-06-08,False
166,18-24,Female,UK,50k-75k,Mobile,social_media,2024-08-16,False
167,25-34,Female,US,100k+,Desktop,organic_search,2024-10-26,False
168,65+,Female,US,50k-75k,Mobile,paid_search,2024-06-05,False
169,65+,Female,Germany,40k-60k,Desktop,email_campaign,2024-10-02,False
170,35-44,Male,US,75k-100k,Desktop,referral,2024-09-30,False
171,25-34,Female,Germany,40k-60k,Desktop,paid_search,2024-10-14,False
172,25-34,Male,Israel,25k-40k,Mobile,organic_search,2024-08-03,False
173,18-24,Male,France,40k-60k,Tablet,social_media,2024-08-25,False
174,25-34,Female,Germany,40k-60k,Desktop,email_campaign,2024-06-20,False
175,45-54,Male,Canada,50k-75k,Mixed,email_campaign,2024-11-01,False
176,25-34,Male,US,30k-50k,Desktop,organic_search,2024-10-10,False
177,35-44,Male,France,25k-40k,Mixed,paid_search,2024-09-18,False
178,35-44,Male,US,50k-75k,Desktop,email_campaign,2024-06-19,False
179,35-44,Female,US,75k-100k,Mobile,paid_search,2024-08-17,False
180,35-44,Male,Germany,60k-80k,Mobile,social_media,2024-09-26,False
181,25-34,Female,France,60k-80k,Mixed,paid_search,2024-06-05,False
182,45-54,Male,Germany,60k-80k,Desktop,organic_search,2024-07-30,False
183,45-54,Male,US,50k-75k,Desktop,organic_search,2024-11-10,True
184,25-34,Male,UK,75k-100k,Desktop,email_campaign,2024-08-09,False
185,35-44,Male,US,30k-50k,Mobile,email_campaign,2024-08-09,False
186,45-54,Female,Israel,40k-60k,Mobile,paid_search,2024-11-01,False
187,25-34,Male,US,<30k,Desktop,paid_search,2024-09-23,False
188,35-44,Female,Germany,<25k,Mobile,paid_search,2024-10-30,False
189,65+,Male,UK,50k-75k,Mobile,organic_search,2024-09-06,False
190,25-34,Male,France,25k-40k,Mixed,organic_search,2024-10-13,False
191,25-34,Female,Israel,<25k,Desktop,direct,2024-11-02,False
192,55-64,Female,US,75k-100k,Mobile,paid_search,2024-07-14,False
193,25-34,Female,UK,100k+,Desktop,organic_search,2024-06-12,False
194,35-44,Male,Australia,30k-50k,Mixed,organic_search,2024-07-10,False
195,18-24,Female,UK,30k-50k,Mobile,social_media,2024-06-19,False
196,45-54,Male,UK,30k-50k,Mixed,organic_search,2024-11-05,False
197,25-34,Male,US,<30k,Desktop,organic_search,2024-10-26,False
198,45-54,Female,Germany,<25k,Desktop,paid_search,2024-10-17,False
199,55-64,Male,France,25k-40k,Mobile,direct,2024-06-30,False
200,65+,Female,US,100k+,Mobile,organic_search,2024-10-03,False
201,25-34,Male,Netherlands,<25k,Mobile,organic_search,2024-10-06,False
202,18-24,Female,US,50k-75k,Mobile,email_campaign,2024-11-28,False
203,25-34,Male,France,<25k,Desktop,social_media,2024-09-23,False
204,18-24,Female,UK,75k-100k,Mixed,paid_search,2024-09-08,False
205,25-34,Male,US,50k-75k,Mobile,referral,2024-10-28,False
206,25-34,Female,Canada,50k-75k,Mobile,social_media,2024-10-02,False
207,35-44,Male,US,100k+,Mobile,paid_search,2024-09-28,False
208,18-24,Male,France,25k-40k,Mixed,social_media,2024-11-08,False
209,55-64,Male,Israel,<25k,Mobile,social_media,2024-07-15,False
210,25-34,Male,UK,30k-50k,Mobile,social_media,2024-07-21,False
211,35-44,Female,US,<30k,Mobile,organic_search,2024-08-15,True
212,18-24,Male,Germany,<25k,Mobile,paid_search,2024-08-26,False
213,18-24,Male,Canada,75k-100k,Desktop,direct,2024-10-02,False
214,18-24,Male,UK,50k-75k,Desktop,paid_search,2024-08-01,True
215,35-44,Female,Netherlands,40k-60k,Desktop,organic_search,2024-07-16,False
216,35-44,Male,US,75k-100k,Mobile,email_campaign,2024-09-11,True
217,35-44,Male,France,60k-80k,Mobile,organic_search,2024-08-23,True
218,55-64,Female,Israel,80k+,Mobile,social_media,2024-10-20,True
219,55-64,Female,Germany,60k-80k,Mobile,organic_search,2024-06-02,False
220,35-44,Male,US,50k-75k,Mobile,paid_search,2024-09-09,True
221,45-54,Female,UK,30k-50k,Tablet,social_media,2024-09-27,False
222,25-34,Female,US,75k-100k,Desktop,paid_search,2024-11-19,False
223,45-54,Female,US,50k-75k,Mobile,organic_search,2024-10-04,False
224,18-24,Male,US,100k+,Mobile,organic_search,2024-09-15,False
225,45-54,Male,US,<30k,Desktop,paid_search,2024-07-05,False
226,45-54,Female,US,50k-75k,Mobile,organic_search,2024-07-21,False
227,35-44,Male,Canada,<30k,Mobile,referral,2024-10-19,False
228,55-64,Male,France,25k-40k,Tablet,paid_search,2024-08-24,False
229,18-24,Female,US,30k-50k,Desktop,social_media,2024-09-06,False
230,25-34,Male,Germany,60k-80k,Desktop,paid_search,2024-06-12,True
231,25-34,Male,Germany,25k-40k,Mobile,paid_search,2024-11-30,False
232,45-54,Male,Germany,40k-60k,Mobile,social_media,2024-09-17,False
233,35-44,Male,Canada,75k-100k,Mixed,organic_search,2024-08-11,False
234,45-54,Male,UK,30k-50k,Mobile,social_media,2024-11-18,False
235,45-54,Female,US,<30k,Mobile,direct,2024-10-06,False
236,25-34,Male,UK,100k+,Tablet,organic_search,2024-10-06,True
237,18-24,Male,US,75k-100k,Desktop,direct,2024-10-14,True
238,55-64,Male,Canada,75k-100k,Mixed,paid_search,2024-11-25,False
239,35-44,Male,US,100k+,Desktop,paid_search,2024-07-04,False
240,65+,Male,Australia,30k-50k,Mobile,email_campaign,2024-09-15,False
241,35-44,Male,Israel,25k-40k,Desktop,paid_search,2024-11-24,False
242,25-34,Female,US,75k-100k,Mixed,social_media,2024-07-30,False
243,35-44,Female,US,50k-75k,Desktop,social_media,2024-06-25,False
244,25-34,Other,France,25k-40k,Tablet,direct,2024-06-16,False
245,25-34,Male,France,60k-80k,Mobile,email_campaign,2024-11-09,False
246,35-44,Female,Netherlands,40k-60k,Mobile,organic_search,2024-06-28,False
247,25-34,Female,US,30k-50k,Mobile,paid_search,2024-10-31,False
248,25-34,Other,Canada,30k-50k,Desktop,social_media,2024-07-13,False
249,25-34,Male,UK,<30k,Mobile,organic_search,2024-11-19,False
250,35-44,Male,Canada,30k-50k,Mobile,social_media,2024-07-02,False
251,25-34,Female,Germany,<25k,Mobile,organic_search,2024-07-19,False
252,45-54,Female,US,<30k,Mobile,organic_search,2024-07-22,False
253,18-24,Male,Germany,25k-40k,Mixed,organic_search,2024-07-08,False
254,45-54,Female,Israel,60k-80k,Mobile,organic_search,2024-08-09,True
255,18-24,Male,US,75k-100k,Desktop,paid_search,2024-06-19,False
256,18-24,Male,US,30k-50k,Desktop,organic_search,2024-11-18,False
257,35-44,Male,France,<25k,Mobile,paid_search,2024-11-03,False
258,35-44,Female,UK,<30k,Tablet,organic_search,2024-09-16,True
259,35-44,Female,UK,30k-50k,Desktop,paid_search,2024-08-06,False
260,35-44,Female,Canada,75k-100k,Desktop,paid_search,2024-06-18,False
261,35-44,Male,Australia,30k-50k,Desktop,organic_search,2024-06-10,False
262,25-34,Male,Canada,75k-100k,Desktop,paid_search,2024-06-26,False
263,18-24,Female,France,<25k,Mobile,paid_search,2024-10-21,False
264,55-64,Male,France,<25k,Mobile,email_campaign,2024-11-11,False
265,18-24,Male,Israel,25k-40k,Desktop,paid_search,2024-09-24,True
266,25-34,Female,US,30k-50k,Mobile,paid_search,2024-10-01,True
267,25-34,Female,Germany,40k-60k,Mobile,social_media,2024-10-04,False
268,35-44,Female,US,30k-50k,Mobile,referral,2024-06-03,False
269,35-44,Male,UK,75k-100k,Mobile,paid_search,2024-06-15,False
270,45-54,Male,UK,30k-50k,Mixed,paid_search,2024-06-27,False
271,25-34,Female,France,40k-60k,Desktop,social_media,2024-11-19,False
272,25-34,Female,US,100k+,Desktop,social_media,2024-09-22,False
273,25-34,Male,US,75k-100k,Mixed,paid_search,2024-10-04,False
274,25-34,Female,Canada,30k-50k,Mobile,organic_search,2024-10-25,False
275,25-34,Male,UK,75k-100k,Desktop,referral,2024-08-05,False
276,55-64,Male,US,50k-75k,Mobile,organic_search,2024-08-06,False
277,25-34,Female,Canada,100k+,Desktop,direct,2024-08-04,False
278,25-34,Male,Canada,50k-75k,Desktop,social_media,2024-06-25,False
279,45-54,Female,US,75k-100k,Mobile,direct,2024-08-24,False
280,25-34,Male,Netherlands,40k-60k,Mobile,organic_search,2024-07-13,False
281,25-34,Male,France,60k-80k,Desktop,organic_search,2024-11-27,True
282,25-34,Female,US,75k-100k,Desktop,social_media,2024-06-16,False
283,35-44,Male,France,40k-60k,Desktop,direct,2024-08-16,False
284,18-24,Male,US,30k-50k,Mobile,direct,2024-10-12,False
285,18-24,Male,UK,100k+,Desktop,social_media,2024-09-15,True
286,18-24,Male,US,30k-50k,Mobile,paid_search,2024-06-04,False
287,25-34,Male,France,60k-80k,Desktop,paid_search,2024-08-08,False
288,18-24,Male,US,75k-100k,Tablet,social_media,2024-09-30,True
289,45-54,Female,Netherlands,<25k,Desktop,paid_search,2024-11-24,False
290,45-54,Male,US,50k-75k,Mobile,social_media,2024-07-05,False
291,45-54,Male,UK,50k-75k,Desktop,social_media,2024-06-29,True
292,18-24,Female,Germany,80k+,Desktop,direct,2024-09-30,False
293,25-34,Female,UK,100k+,Mobile,paid_search,2024-08-13,False
294,25-34,Male,UK,75k-100k,Mixed,social_media,2024-09-01,True
295,35-44,Female,UK,30k-50k,Desktop,direct,2024-11-07,False
296,18-24,Female,UK,30k-50k,Desktop,direct,2024-11-16,True
297,18-24,Male,UK,30k-50k,Mobile,organic_search,2024-11-21,False
298,25-34,Male,Israel,<25k,Mobile,paid_search,2024-09-12,False
299,25-34,Male,US,<30k,Desktop,direct,2024-08-06,False
300,35-44,Male,US,30k-50k,Mobile,paid_search,2024-09-04,False
301,25-34,Female,France,25k-40k,Desktop,email_campaign,2024-07-18,False
302,18-24,Female,US,100k+,Mobile,social_media,2024-07-14,True
303,55-64,Male,US,75k-100k,Desktop,paid_search,2024-06-11,False
304,25-34,Female,Germany,40k-60k,Tablet,social_media,2024-08-19,False
305,35-44,Male,Canada,50k-75k,Mobile,email_campaign,2024-10-06,False
306,18-24,Male,Germany,<25k,Mobile,organic_search,2024-08-23,False
307,35-44,Male,Israel,60k-80k,Mobile,email_campaign,2024-07-30,False
308,18-24,Female,Israel,25k-40k,Mixed,paid_search,2024-11-04,False
309,65+,Female,France,25k-40k,Mobile,social_media,2024-07-08,False
310,25-34,Female,France,25k-40k,Desktop,direct,2024-09-17,False
311,25-34,Male,UK,30k-50k,Mobile,organic_search,2024-07-18,False
312,25-34,Female,France,40k-60k,Mixed,social_media,2024-09-07,False
313,25-34,Female,UK,75k-100k,Mobile,social_media,2024-11-18,False
314,35-44,Male,France,80k+,Mobile,paid_search,2024-11-29,False
315,25-34,Female,Germany,<25k,Desktop,social_media,2024-11-29,False
316,55-64,Male,Germany,80k+,Mixed,email_campaign,2024-09-26,False
317,25-34,Female,Israel,<25k,Mobile,social_media,2024-11-24,False
318,65+,Female,US,30k-50k,Mixed,organic_search,2024-06-08,False
319,45-54,Female,US,30k-50k,Mobile,paid_search,2024-06-12,False
320,25-34,Male,US,30k-50k,Mobile,organic_search,2024-09-16,False
321,35-44,Other,UK,75k-100k,Desktop,organic_search,2024-09-12,False
322,25-34,Male,US,75k-100k,Mobile,social_media,2024-11-15,False
323,35-44,Male,UK,50k-75k,Mobile,email_campaign,2024-08-20,False
324,18-24,Female,Germany,<25k,Tablet,social_media,2024-07-18,False
325,55-64,Female,France,<25k,Mixed,paid_search,2024-08-16,True
326,35-44,Female,Canada,<30k,Mobile,social_media,2024-08-01,False
327,25-34,Female,Canada,75k-100k,Mobile,organic_search,2024-08-20,False
328,35-44,Male,US,75k-100k,Mixed,email_campaign,2024-06-16,False
329,25-34,Female,Australia,50k-75k,Desktop,paid_search,2024-09-02,False
330,25-34,Female,Canada,<30k,Mixed,organic_search,2024-10-21,True
331,45-54,Male,Australia,<30k,Desktop,referral,2024-07-14,False
332,35-44,Female,US,<30k,Mobile,direct,2024-06-12,False
333,55-64,Female,US,100k+,Mobile,email_campaign,2024-11-07,False
334,25-34,Female,US,100k+,Mobile,social_media,2024-07-24,False
335,45-54,Female,Germany,<25k,Desktop,paid_search,2024-07-08,False
336,35-44,Female,US,50k-75k,Desktop,referral,2024-07-22,False
337,25-34,Male,France,<25k,Mixed,email_campaign,2024-09-21,True
338,25-34,Female,Germany,<25k,Desktop,organic_search,2024-11-23,False
339,25-34,Female,France,25k-40k,Mobile,organic_search,2024-09-24,False
340,35-44,Male,Canada,75k-100k,Mobile,social_media,2024-09-30,True
341,18-24,Female,Canada,30k-50k,Mobile,direct,2024-09-12,False
342,45-54,Male,Israel,<25k,Mixed,email_campaign,2024-10-03,False
343,25-34,Female,UK,50k-75k,Desktop,paid_search,2024-07-01,False
344,18-24,Male,Canada,30k-50k,Desktop,organic_search,2024-11-29,False
345,25-34,Male,France,40k-60k,Mobile,organic_search,2024-06-17,False
346,65+,Female,US,100k+,Mobile,direct,2024-06-06,False
347,25-34,Male,US,<30k,Desktop,paid_search,2024-09-27,False
348,35-44,Female,Canada,75k-100k,Desktop,organic_search,2024-11-10,False
349,35-44,Female,US,50k-75k,Tablet,organic_search,2024-07-02,False
350,35-44,Male,US,50k-75k,Desktop,referral,2024-11-06,False
351,45-54,Male,US,100k+,Mobile,organic_search,2024-10-24,False
352,45-54,Female,Israel,40k-60k,Mobile,social_media,2024-09-02,True
353,25-34,Female,Australia,75k-100k,Mobile,organic_search,2024-10-24,False
354,35-44,Female,US,30k-50k,Desktop,organic_search,2024-10-23,False
355,18-24,Female,UK,75k-100k,Mobile,email_campaign,2024-06-11,False
356,18-24,Female,UK,75k-100k,Desktop,paid_search,2024-08-12,False
357,18-24,Other,US,30k-50k,Tablet,social_media,2024-06-25,True
358,25-34,Female,France,<25k,Mobile,organic_search,2024-09-07,False
359,35-44,Female,US,75k-100k,Mobile,organic_search,2024-06-02,True
360,25-34,Male,Germany,80k+,Mobile,paid_search,2024-10-10,False
361,55-64,Female,UK,<30k,Mixed,organic_search,2024-10-02,True
362,25-34,Female,US,50k-75k,Desktop,email_campaign,2024-08-08,False
363,45-54,Male,Germany,25k-40k,Mobile,social_media,2024-09-14,False
364,25-34,Female,US,75k-100k,Mobile,paid_search,2024-10-28,False
365,25-34,Male,UK,<30k,Desktop,organic_search,2024-06-05,True
366,25-34,Female,US,50k-75k,Tablet,organic_search,2024-07-12,True
367,25-34,Female,Israel,40k-60k,Mobile,organic_search,2024-11-28,True
368,35-44,Female,US,50k-75k,Desktop,paid_search,2024-08-27,False
369,45-54,Female,UK,50k-75k,Desktop,organic_search,2024-07-17,False
370,25-34,Female,US,75k-100k,Mobile,organic_search,2024-07-20,False
371,35-44,Female,Canada,75k-100k,Tablet,social_media,2024-10-22,False
372,35-44,Male,US,50k-75k,Desktop,social_media,2024-09-13,False
373,25-34,Male,Germany,40k-60k,Mobile,paid_search,2024-08-28,False
374,35-44,Female,UK,30k-50k,Mixed,email_campaign,2024-11-26,False
375,25-34,Female,Canada,30k-50k,Desktop,social_media,2024-06-24,False
376,45-54,Male,France,<25k,Mobile,social_media,2024-07-08,False
377,25-34,Male,UK,75k-100k,Desktop,organic_search,2024-10-18,False
378,35-44,Male,US,50k-75k,Mobile,organic_search,2024-11-16,False
379,35-44,Male,UK,75k-100k,Mobile,organic_search,2024-10-31,False
380,55-64,Male,US,<30k,Mobile,direct,2024-10-05,False
381,25-34,Female,Canada,30k-50k,Desktop,organic_search,2024-09-16,False
382,45-54,Female,UK,<30k,Mobile,social_media,2024-11-20,False
383,35-44,Female,UK,50k-75k,Mixed,email_campaign,2024-07-13,False
384,35-44,Female,US,50k-75k,Desktop,organic_search,2024-07-12,False
385,25-34,Male,Netherlands,40k-60k,Mobile,social_media,2024-07-19,True
386,35-44,Female,UK,<30k,Desktop,organic_search,2024-11-26,False
